ID;Active (0 /1);Name *;Categories (ID1,ID2...);Price in EUR;Tax rules ID;Wholesale price;On sale (0 /1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Product Code;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility (search|catalog|both|none);Additional shipping cost;Unity;Unit price;Short description (  Description );Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0  No, 1  Yes);Product available date;Product creation date;Show price (0  No, 1  Yes);Image URL;Delete existing images (0  No, 1  Yes);Feature(Name:Value:Position);Available online only (0  No, 1  Yes);Condition;Customizable (0  No, 1  Yes);Uploadable files (0  No, 1  Yes);Text fields (0  No, 1  Yes);Out of stock;ID  / Name of shop;Advanced stock management;Depends On Stock;Warehouse
1;1;Test product [test only];30;0.02;68;;0;;;;;TESTONLY;;;AnyRidge;;;;;;;;1000;;both;;;;;;;;;;TESTONLY;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/TESTONLY.png;1;;;new;;;;;;;;
2;1;AnyRidge Internal Fixture;30;159.00;68;;0;;;;;FALIHX6007C;;;AnyRidge;;;;;;;;1000;;both;;;;Cover Screw included.;"• Availability of 7mm product is subject to local approval.
• Europe certified only. Not for Korean domestic users.";;;;;FALIHX6007C;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/FALIHX6007C.png;1;;;new;;;;;;;;
3;1;AnyRidge Cover Screw;30;21.00;68;;0;;;;;AANCSF3508;;;AnyRidge;;;;;;;;1000;;both;;;;Included in fixture package.;"• Use with a Hand Driver(1.2 Hex).
• Used for submerged type surgery.
• Protects the inner structure of a fixture.
• Different heights can be chosen according to the position of fixture below the crest.
• 1.6mm and 2.6mm height of Cover Screw can be purchased separately.";;;;;AANCSF3508;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANCSF3508.png;1;;;new;;;;;;;;
4;1;AnyRidge Healing Abutment;30;25.00;68;;0;;;;;AANHAF0403;;;AnyRidge;;;;;;;;1000;;both;;;;;"• Use with a Hand Driver(1.2 Hex).
• Used for non-submerged type surgery or for two stage surgery.
• Choose appropriate diameter and height of Healing Abutment according to situation.
• Helps to form suitable emergence profile during period of gingival healing.";;;;;AANHAF0403;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANHAF0403.png;1;;;new;;;;;;;;
5;1;AnyRidge Abutment Impression Coping Transfer Type;310;42.00;68;;0;;;;;AANITH4012T;;;AnyRidge;;;;;;;;1000;;both;;;;For Closed-tray Technique.;"• Streamlined shape ; easy to transfer.
• Anti-rotation grooves match with hex structure of fixtures.
• Should be tightened with Impression Driver or
 Hand Driver(1.2 Hex).";;;;;AANITH4012T;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANITH4012T.png;1;;;new;;;;;;;;
6;1;AnyRidge Abutment Impression Coping Pick-up Type;310;48.00;68;;0;;;;;AANIPH4012T;;;AnyRidge;;;;;;;;1000;;both;;;;"For Closed-tray Technique. - Guide Pins : AANGPP0010 (7mm : Short) /
 AANGPP0015 (12mm : Long) / AANGPP0020 (20mm : Extra-long)";"• Square structure ; strong anti - rotation function.
• Designed for easy and accurate pick-up impression.
• Extra-long guide pin can be purchased separately.";;;;;AANIPH4012T;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANIPH4012T.png;1;;;new;;;;;;;;
7;1;AnyRidge Abutment Lab Analog;310;14.00;68;;0;;;;;AANLAF4055;;;AnyRidge;;;;;;;;1000;;both;;;;(Fixture Level);"• Square structure ; strong anti - rotation function.
• Designed for easy and accurate pick-up impression.
• Extra-long guide pin can be purchased separately.";;;;;AANLAF4055;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANLAF4055.png;1;;;new;;;;;;;;
8;1;AnyRidge Abutment Temporary;310;45.00;68;;0;;;;;AANTMH4012T;;;AnyRidge;;;;;;;;1000;;both;;;;"(Titanium)
 - Multi Post Screw(AANMSF) included.";"• For making provisional restoration.
• Grooved on the post allows strong resin adherence.";;;;;AANTMH4012T;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANTMH4012T.png;1;;;new;;;;;;;;
9;1;AnyRidge Abutment Fuse;310;85.00;68;;0;;;;;AFAP5535P;;;AnyRidge;;;;;;;;1000;;both;;;;"- Straight, 15°, 25° ; Multi Post Screw(AANMSF) included
+ Fuse Cap included.
- Milling ; Multi Post Screw(AANMSF) included.";;;;;;AFAP5535P;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AFAP5535P.png;1;;;new;;;;;;;;
10;1;AnyRidge Abutment EZ Post;310;79.00;68;;0;;;;;AANEPH4025L;;;AnyRidge;;;;;;;;1000;;both;;;;- Multi Post Screw(AANMSF/AANMST) included.;"• Use with a Hand Driver (1.2 Hex).
• Esthetic gold coloring.
• Two different post heights. (5.5, 7.0mm)
• Four different profile diameters. (Ø4.0, 5.0, 6.0, 7.0)
• Four different cuff heights. (2.0, 3.0, 4.0, 5.0mm)";;;;;AANEPH4025L;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANEPH4025L.png;1;;;new;;;;;;;;
11;1;AnyRidge Abutment ECLA;310;182.40;68;;0;;;;;AANGAH4012L;;;AnyRidge;;;;;;;;1000;;both;;;;- Multi Post Screw(AANMSF/AANMST) included.;"• Useful to make a customized abutment in difficult situations.
• Precious and non-precious alloys.
• Melting point of gold alloy : 1400 - 1450?
• Threaded sleeves for convenient Resin / Wax-up.";;;;;AANGAH4012L;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANGAH4012L.png;1;;;new;;;;;;;;
12;1;AnyRidge Abutment Zirconia;310;85.00;68;;0;;;;;AANZAH4012L;;;AnyRidge;;;;;;;;1000;;both;;;;- Multi Post Screw(AANMSF/AANMST) included.;"• For aesthetic use.
• Natural white color with pre-sintered zirconia sleeve.";;;;;AANZAH4012L;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANZAH4012L.png;1;;;new;;;;;;;;
13;1;AnyRidge Abutment Milling;310;79.00;68;;0;;;;;AANMAH4029L;;;AnyRidge;;;;;;;;1000;;both;;;;- Multi Post Screw(AANMSF/AANMST) included.;• Long post enables easier customization by milling.;;;;;AANMAH4029L;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANMAH4029L.png;1;;;new;;;;;;;;
14;1;AnyRidge Abutment Angled;310;110.00;68;;0;;;;;AANAAH4215L;;;AnyRidge;;;;;;;;1000;;both;;;;- Multi Post Screw(AANMSF/AANMST) included.;"• Two different angulations. (15°, 25°)
• Four different profile diameters. (Ø4.0, 5.0, 6.0, 7.0)
• Four different cuff heights. (2, 3, 4, 5mm)
• Can cover 12 different directions. [six to the surface(Hex), six to the edge of hex(Hex-E)]
• Esthetic gold coloring.
• Minimized screw head length needs minimum height to prevent milling problems.";;;;;AANAAH4215L;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANAAH4215L.png;1;;;new;;;;;;;;
15;1;AnyRidge Abutment CCM;310;110.00;68;;0;;;;;AANCAH4012L;;;AnyRidge;;;;;;;;1000;;both;;;;- Multi Post Screw(AANMSF/AANMST) included.;"• Useful to make a customized abutment in difficult situations.
• Can be casted with non-precious alloys(Ni-Cr, Cr-Co alloys).
• Non-precious melting temperature : Depend on Manufacturer
• Threaded sleeves for convenient Resin / Wax-up.
• Melting temperature of CCM : 1380 - 1420?";;;;;AANCAH4012L;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANCAH4012L.png;1;;;new;;;;;;;;
16;1;AnyRidge Abutment Extra EZ Post;310;79.00;68;;0;;;;;AANEEH4517L;;;AnyRidge;;;;;;;;1000;;both;;;;- Multi Post Screw(AANMSF/AANMST) included.;"• Only when satisfactory emergence profile cannot be obtained due to thin gingiva or shallow positioned fixture.
• Useful when fixture is exposed over the gum line.";;;;;AANEEH4517L;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANEEH4517L.png;1;;;new;;;;;;;;
17;1;AnyRidge Abutment Lab Analog for use Extra EZ Post;310;14.00;68;;0;;;;;AANLAF35;;;AnyRidge;;;;;;;;1000;;both;;;;;"• AANLAF35 used for AANEEH4517.
• AANLAF4055 used for AANEEH5517.
• AANLAF6080 used for AANEEH6517.";;;;;AANLAF35;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANLAF35.png;1;;;new;;;;;;;;
18;1;AnyRidge Abutment Selection Guide Kit;310;250.00;68;;0;;;;;KANASG3000;;;AnyRidge;;;;;;;;1000;;both;;;;"• Colors indicate different cuff heights (Yellow : 2mm, White : 3mm, Pink : 4mm, Red : 5mm)
• Store 2pieces in each container
• Use autoclave to sterilize";;;;;;KANASG3000;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/KANASG3000.png;1;;;new;;;;;;;;
19;1;AnyRidge Abutment Solid Abutment;311;79.00;68;;0;;;;;AANSAL4024;;;AnyRidge;;;;;;;;1000;;both;;;;;"• Used in cement retained restoration only.
• Solid Abutment should be placed into patient’s mouth before taking impression.
• Onebody (screw + abutment)
• Should be tightened with a Solid Driver and a Torque Wrench : 35Ncm)
• Four different profile diameters. (Ø4.0/5.0/6.0/7.0)
- Should be tightened with special Solid Driver.
- Wider profile has bigger post angulation.(4mm - 8°, 5mm - 10°, 6mm - 12°, 7mm - 14°)
• Four different cuff heights. (2/3/4/5mm)
• Three different post heights. (4/5.5/7mm)";;;;;AANSAL4024;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANSAL4024.png;1;;;new;;;;;;;;
20;1;AnyRidge Abutment Snap Impression Coping;311;15.00;68;;0;;;;;AANSIF440;;;AnyRidge;;;;;;;;1000;;both;;;;;"• For impression on Solid Abutments.
• 3 color coded for different post heights.
• 4 different diameters for profile diameters. (Ø4, 5, 6, 7)
• Do not use when abutment is trimmed.";;;;;AANSIF440;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANSIF440.png;1;;;new;;;;;;;;
21;1;AnyRidge Abutment Comfort Cap;311;9.00;68;;0;;;;;AANCCF440;;;AnyRidge;;;;;;;;1000;;both;;;;;"• Protects the Solid Abutment and minimizes irritation to tongue and oral mucosa.
• Can be applied under temporary prosthetics.
• Color coded according to post heights.";;;;;AANCCF440;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANCCF440.png;1;;;new;;;;;;;;
22;1;AnyRidge Abutment Lab Analog;311;14.00;68;;0;;;;;AANSLF440;;;AnyRidge;;;;;;;;1000;;both;;;;(Solid Level);"Directly connected to the Snap Impression Coping
in the impression to make a stone model.";;;;;AANSLF440;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANSLF440.png;1;;;new;;;;;;;;
23;1;AnyRidge Abutment Burn-out Cylinder;311;14.00;68;;0;;;;;AANBCB470;;;AnyRidge;;;;;;;;1000;;both;;;;;"• Fits with a Lab Analog(solid level).
• Easy to wax-up and accurate casting.
• White Cylinder for multiple unit.
• Red Cylinder for single crown.";;;;;AANBCB470;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANBCB470.png;1;;;new;;;;;;;;
24;1;AnyRidge Abutment Octa Abutment;312;105.00;68;;0;;;;;AANOAF4010;;;AnyRidge;;;;;;;;1000;;both;;;;;"• Used in manufacturing multiple screw-retained prosthetics.
• Compatible with Strauman’s Octa Abutment system.
• Use an Octa Abutment Driver : 35Ncm
• Maximum path angle : 70?";;;;;AANOAF4010;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANOAF4010.png;1;;;new;;;;;;;;
25;1;AnyRidge Abutment Healing Cap and Octa Cylinder Cap;312;29.00;68;;0;;;;;AANOHC4000T;;;AnyRidge;;;;;;;;1000;;both;;;;- Cylinder Screw(IRCS200) included.;Protects Octa Abutment and minimizes irritation to tongue and oral mucosa.;;;;;AANOHC4000T;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANOHC4000T.png;1;;;new;;;;;;;;
26;1;AnyRidge Abutment Octa Impression Coping;312;48.00;68;;0;;;;;AAOITO4010T;;;AnyRidge;;;;;;;;1000;;both;;;;(Transfer) - Guide Pin included.;;;;;;AAOITO4010T;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AAOITO4010T.png;1;;;new;;;;;;;;
27;1;AnyRidge Abutment Impression Coping Pick-up Type;312;48.00;68;;0;;;;;AAOIPO4010T;;;AnyRidge;;;;;;;;1000;;both;;;;- Guide Pin included.;;;;;;AAOIPO4010T;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AAOIPO4010T.png;1;;;new;;;;;;;;
28;1;AnyRidge Abutment Lab Analog;312;14.00;68;;0;;;;;AANOLA4000;;;AnyRidge;;;;;;;;1000;;both;;;;;;;;;;AANOLA4000;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANOLA4000.png;1;;;new;;;;;;;;
29;1;AnyRidge Abutment Temporary Cylinder;312;45.00;68;;0;;;;;AANOTCO4010T;;;AnyRidge;;;;;;;;1000;;both;;;;- Cylinder Screw(IRCS200) included.;;;;;;AANOTCO4010T;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANOTCO4010T.png;1;;;new;;;;;;;;
30;1;AnyRidge Abutment EZ Post Cylinder;312;79.00;68;;0;;;;;AAOECO4005T;;;AnyRidge;;;;;;;;1000;;both;;;;- Cylinder Screw(IRCS200) included.;;;;;;AAOECO4005T;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AAOECO4005T.png;1;;;new;;;;;;;;
31;1;AnyRidge Abutment Gold Cylinder;312;182.40;68;;0;;;;;AANGCO4000TA;;;AnyRidge;;;;;;;;1000;;both;;;;- Cylinder Screw(IRCS200) included.;"• For customizing abutment for screw retained multiunit restoration.
• Available in both octa(red) and non-octa(white).
• Melting point of gold alloy : 1400 - 1450?
• Threaded sleeves allow for better retention of resin or wax.
• Available in three diameters (Ø4.0, 5.0, 6.0).
• Recommend torque : 30Ncm";;;;;AANGCO4000TA;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANGCO4000TA.png;1;;;new;;;;;;;;
32;1;AnyRidge Abutment CCM Cylinder;312;106.80;68;;0;;;;;AANCCO4000TB;;;AnyRidge;;;;;;;;1000;;both;;;;- Cylinder Screw(IRCS200) included.;"• Threaded sleeves allow for better retention of resin or wax.
• Available in both octa (pink) and non-octa (yellow) and three diameters (Ø4.0, 5.0, 6.0).
• Recommend torque : 30Ncm
• Can be casted with non-precious alloys (Ni-Cr, Cr-Co alloys).";;;;;AANCCO4000TB;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANCCO4000TB.png;1;;;new;;;;;;;;
33;1;AnyRidge Abutment Plastic Cylinder;312;58.80;68;;0;;;;;AAOTCO4010T;;;AnyRidge;;;;;;;;1000;;both;;;;- Cylinder Screw(IRCS200) included.;"• Economical option.
• Used for customizing abutment for screw retained multi-unit restorations.
• Available in both octa (red) and non-octa (white)
• Threaded sleeves allow for better retention of resin or wax.";;;;;AAOTCO4010T;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AAOTCO4010T.png;1;;;new;;;;;;;;
34;1;AnyRidge Abutment Multi-unit Angled Abutment 17 degrees;313;118.80;68;;0;;;;;AANMUH50117L;;;AnyRidge;;;;;;;;1000;;both;;;;- Multi Post Screw(MUMMSF/MUMMST) included.;;;;;;AANMUH50117L;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANMUH50117L.png;1;;;new;;;;;;;;
35;1;AnyRidge Abutment Multi-unit Angled Abutment 29 degrees;313;118.80;68;;0;;;;;AANMUH50129L;;;AnyRidge;;;;;;;;1000;;both;;;;- Multi Post Screw(MUMMSF/MUMMST) included.;;;;;;AANMUH50129L;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANMUH50129L.png;1;;;new;;;;;;;;
36;1;AnyRidge Abutment Multi-unit Abutment Straight;313;106.80;68;;0;;;;;AANMUH5020T;;;AnyRidge;;;;;;;;1000;;both;;;;- Multi-unit Abutment Screw included.;• Use with Multi-unit Driver.;;;;;AANMUH5020T;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/AANMUH5020T.png;1;;;new;;;;;;;;
37;1;AnyRidge Abutment Healing Cap;313;14.40;68;;0;;;;;REC600;;;AnyRidge;;;;;;;;1000;;both;;;;;;;;;;REC600;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/REC600.png;1;;;new;;;;;;;;
38;1;AnyRidge Abutment Impression Coping Transfer Type;313;48.00;68;;0;;;;;RITE480;;;AnyRidge;;;;;;;;1000;;both;;;;;;;;;;RITE480;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/RITE480.png;1;;;new;;;;;;;;
39;1;AnyRidge Abutment Impression Coping Pick-up Type;313;14.40;68;;0;;;;;RIEH480T;;;AnyRidge;;;;;;;;1000;;both;;;;- Guide Pin (RICG150) included;;;;;;RIEH480T;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/RIEH480T.png;1;;;new;;;;;;;;
40;1;AnyRidge Abutment Lab Analog;313;14.40;68;;0;;;;;RELA300;;;AnyRidge;;;;;;;;1000;;both;;;;;;;;;;RELA300;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/RELA300.png;1;;;new;;;;;;;;
41;1;AnyRidge Abutment Temporary Cylinder;313;14.40;68;;0;;;;;ETH100T;;;AnyRidge;;;;;;;;1000;;both;;;;- Cylinder Screw (TASH140) included;;;;;;ETH100T;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/ETH100T.png;1;;;new;;;;;;;;
42;1;AnyRidge Abutment EZ Post Cylinder;313;14.40;68;;0;;;;;RCA900T;;;AnyRidge;;;;;;;;1000;;both;;;;- Cylinder Screw (TASH140) included;;;;;;RCA900T;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/RCA900T.png;1;;;new;;;;;;;;
43;1;AnyRidge Abutment Gold Cylinder;313;106.80;68;;0;;;;;REGC200T;;;AnyRidge;;;;;;;;1000;;both;;;;- Cylinder Screw (TASH140) included;"• Useful to make a customized abutment in difficult situations.
• Precious and non-precious alloys.
• Melting point of gold alloy : 1400 - 1450?
• Threaded sleeves for convenient Resin / Wax-up.";;;;;REGC200T;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/REGC200T.png;1;;;new;;;;;;;;
44;1;AnyRidge Abutment CCM Cylinder;313;106.80;68;;0;;;;;RCA5013HT;;;AnyRidge;;;;;;;;1000;;both;;;;- Cylinder Screw (TASH140) included;"• Useful to make a customized abutment in difficult situations.
• Can be casted with non-precious alloys (Ni-Cr, Cr-Co alloys).
• Non-precious melting temperature : Depend on Manufacturer
• Threaded sleeves for convenient Resin / Wax-up.
• Melting temperature of CCM : 1380 - 1420?";;;;;RCA5013HT;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/RCA5013HT.png;1;;;new;;;;;;;;
45;1;AnyRidge Abutment Plastic Cylinder;313;58.80;68;;0;;;;;RPEH100T;;;AnyRidge;;;;;;;;1000;;both;;;;- Cylinder Screw (TASH140) included;;;;;;RPEH100T;In Stock;;1;;;1;http://shop.megagen.fr/img/import/products/RPEH100T.png;1;;;new;;;;;;;;
